# Author: Rob Graves
# Date: Wed Feb 09 12:45:58 PST 2011
#
# 3D Models:
# 	CVM-S4 (version4.0-IO_patch)
# 	CVM-H11.1.0 (vx_lite)
#
# Data fields are TAB-separated, <-99999> indicates no valid data
#
# Column 1: Station Name
# Column 2: Station ID  No.
# Column 3: Owner
# Column 4: Station Latitude
# Column 5: Station Longitude
# Column 6: CVM-S4 Minimum depth (in meters) to Vs=1000 m/s
# Column 7: CVM-S4 Maximum depth (in meters) to Vs=1000 m/s
# Column 8: CVM-S4 Minimum depth (in meters) to Vs=2500 m/s
# Column 9: CVM-S4 Maximum depth (in meters) to Vs=2500 m/s
# Column 10: CVM-H11.1.0 Minimum depth (in meters) to Vs=1000 m/s
# Column 11: CVM-H11.1.0 Maximum depth (in meters) to Vs=1000 m/s
# Column 12: CVM-H11.1.0 Minimum depth (in meters) to Vs=2500 m/s
# Column 13: CVM-H11.1.0 Maximum depth (in meters) to Vs=2500 m/s
#
Parkfield - Cholame 3E	36450	CDMG	35.77	-120.247	-99999	-99999	-99999	-99999	60	60	3920	3920
Parkfield - Cholame 3W	36410	CDMG	35.724	-120.294	-99999	-99999	1160	1160	60	60	4340	4340
Parkfield - Cholame 4AW	36412	CDMG	35.707	-120.316	-99999	-99999	1160	1160	80	80	4440	4440
Parkfield - Cholame 4W	36411	CDMG	35.718	-120.304	-99999	-99999	1240	1240	60	60	4340	4340
Parkfield - Cholame 6W	36451	CDMG	35.684	-120.342	-99999	-99999	-99999	-99999	80	80	4300	4300
Parkfield - Fault Zone 1	36407	CDMG	35.758	-120.307	-99999	-99999	1360	1360	80	80	4020	4020
Parkfield - Fault Zone 10	36444	CDMG	35.872	-120.422	-99999	-99999	-99999	-99999	60	60	6220	6220
Parkfield - Fault Zone 11	36453	CDMG	35.896	-120.398	-99999	-99999	-99999	-99999	80	80	7780	7780
Parkfield - Fault Zone 12	36138	CDMG	35.899	-120.433	-99999	-99999	-99999	-99999	80	80	7340	7340
Parkfield - Fault Zone 14	36456	CDMG	35.908	-120.458	-99999	-99999	-99999	-99999	80	80	6800	6800
Parkfield - Fault Zone 15	36445	CDMG	35.921	-120.481	-99999	-99999	-99999	-99999	60	60	6260	6260
Parkfield - Fault Zone 16	36457	CDMG	35.927	-120.456	-99999	-99999	-99999	-99999	80	80	7420	7420
Parkfield - Fault Zone 2	36413	CDMG	35.787	-120.334	-99999	-99999	1240	1240	80	80	4120	4120
Parkfield - Fault Zone 3	36408	CDMG	35.803	-120.334	-99999	-99999	-99999	-99999	80	80	4240	4240
Parkfield - Fault Zone 4	36414	CDMG	35.836	-120.395	-99999	-99999	-99999	-99999	80	80	5180	5180
Parkfield - Fault Zone 6	36454	CDMG	35.859	-120.42	-99999	-99999	-99999	-99999	60	60	6020	6020
Parkfield - Fault Zone 7	36431	CDMG	35.871	-120.404	-99999	-99999	-99999	-99999	80	80	6520	6520
Parkfield - Fault Zone 8	36449	CDMG	35.878	-120.381	-99999	-99999	-99999	-99999	80	80	6640	6640
Parkfield - Fault Zone 9	36443	CDMG	35.879	-120.445	-99999	-99999	-99999	-99999	60	60	6260	6260
Parkfield - Gold Hill 1W	36415	CDMG	35.818	-120.378	-99999	-99999	-99999	-99999	80	80	4760	4760
Parkfield - Gold Hill 2E	36421	CDMG	35.843	-120.348	-99999	-99999	-99999	-99999	80	80	5200	5200
Parkfield - Gold Hill 2W	36416	CDMG	35.812	-120.391	-99999	-99999	-99999	-99999	80	80	4720	4720
Parkfield - Gold Hill 3E	36439	CDMG	35.87	-120.334	-99999	-99999	-99999	-99999	80	80	5540	5540
Parkfield - Gold Hill 3W	36420	CDMG	35.796	-120.411	-99999	-99999	-99999	-99999	60	60	4500	4500
Parkfield - Gold Hill 4W	36433	CDMG	35.785	-120.444	-99999	-99999	-99999	-99999	60	60	3860	3860
Parkfield - Gold Hill 5W	36434	CDMG	35.77	-120.477	-99999	-99999	-99999	-99999	60	60	340	340
Parkfield - Gold Hill 6W	36432	CDMG	35.738	-120.507	-99999	-99999	-99999	-99999	60	60	340	340
Parkfield - Stone Corral 2E	36422	CDMG	35.81	-120.282	-99999	-99999	-99999	-99999	80	80	4260	4260
Parkfield - Stone Corral 3E	36437	CDMG	35.833	-120.27	-99999	-99999	-99999	-99999	80	80	4220	4220
Parkfield - Stone Corral 4E	36438	CDMG	35.855	-120.281	-99999	-99999	-99999	-99999	80	80	4500	4500
